alt;become frozen
ánk̓wens;bent
ank̓wt;bent, twisted bones
áples;apples
ápse;sneeze
aw7áwt, sa7sa7entsót;bark/howl collectively (coyotes, dogs)
awt;howled
aynícw;See yen¡xq̓.  ???
c7álus;road/highway is frozen/icy.
c7é7xwemnem;contributing money in a church collection
c7ekwemél̓el;freight wagon, truck, vehickle
c7ek̓wyén̓sten,  nec(7ekw)7ek̓wyén̓stn;toothpick
c7ek̓wyén̓sten;toothpick
c7elcetwécw;trading items within a group
c7élksten;handiwork, artifact
c7élksten;work horses
c7elkstén̓;working tools
c7elkstmél̓el;freight truck, wagon etc.
c7élk̓wmen;pocket
c7ellcwécwle7s;enter a field through a fence
c7ellcwénk;tunnel
c7ellníle;feeding children,  E  chief's dinner.
c7ellníle;feeding the children
c7élltemc;fish milt
c7emetépct.s;s/he set the price for an article for him/her
c7emetsín;"ambush" type of wait for game/people
c7emtútps;two-wheeled cart
c7emúm̓t;sitting in a room/house and not leaving
c7emút/cem̓út;to assume a sitting posture, sit down, get up (in the morning), get into a (vehicle) (all sing.).
c7emut.st.s;waking someone, giving a ride to someone.
c7enecwtsín, -s;agree, consent,take sb. 's advice  Kb.
c7ép̓elpsem;strangle
c7ép̓lesem;mopping the floor.
c7ép̓lesens;mopping the floor.
c7ep̓qs;handkerchief, kleenex
c7ép̓qsten̓;handkerchief to bow the nose
c7ep̓sem̓, -en̓s;washing windows
c7es7ístkten;winter home
c7etíc;gone to sleep (plur.)
c7ets;scorched, singed
c7ewetép;lagging behind
c7exwemnétkwem;throw several things into water
c7exwemnétkwens;s/he threw it into the water
c7éyem;exchange
c7éyens;exchange
c7eyéscnem̓;exchange money in a purchase
c7eyéscnens;he exchange money in a purchase
c7í7elc;sharing, giving out to a group of people
c7íllen, -s;they are eating
c7íllen̓ten;stomach  1,   dish  11.
c7is re xwqwyépstens;the hair on his neck stood on end
c7ístkten̓;winter home
c7itc;asleep (plur.)
c7u7llcw;ck̓uwétem̓,step/enter into
c7u7llcw;enter a game , contest  or a dwelling
c7ú7seten;nest
c7ú7tsen;replied, gave an answer
c7ú7tsqe;exit
c7ullcw;enter into or burrow into a home
cálem,-ens   II.;scraping a frozen hide before tanning .
cecále,  celcált;steep  embankment
cecále;steep place
cecécu7tem;young girl of puberty age
cécu7tem;young girl of puberty age
cekyénst;rub the body against stg.
cel7ígw;ice thaw on lakes, rivers and streams
celgém;intercepted, stopped someone
celméyem;catching fish on a fishing rod
celméyens;catching fish on a fishing rod
celrétkwens;s/he stuck stg. into  water
celtí7ten;teapot
celtsín;beautiful voice
celyáq;fish are stopped by a fish weir
cemkék;bedded down (plur.).
cemkéwt;lying down(plur.) of persons/animals).
cemnékmen̓/cemnékemten;outdoor toilet
cem̓neséws;opponents
cem̓nesmíns;s/he  the opponent of...
cemnún̓s;opponent in a game
cemqsíts̓em̓;smoking a hide with punky wood
cemt̓ílc;school of fish
cemtítken̓;riding bareback
cemtsenéllcw;sitting at the doorstep
cenqín̓em, -s;putting a lid on stg.
centés;spreading out blanket/cloth
cepqenmén;noontime approaches.
cepqínem;eating lunch
cepqín;noon hour
ceq̓éy̓etn;shelter (long), with open top
cetcét;energetic, capable of carrying out any chore
cetcném;getting a headstart
cetemqíqnem̓;to fall on one's head.
cetentés;led the people
cetscéts̓t;tough meat, firm, solidas unripe fruit
cetsctsín;loud crying or yelling, heard from long distances.
cétsem;scorched
cétsens;scorched
cetséts̓;swollen to the point of bursting
cetske7úl̓i;scythe
céwem;fanning, ploughing snow, pawing the ground,
céwens;fanning, ploughing snow, pawing the ground,
cewt;swish by of wind/bird,  whistling of the wind.
ceyct.s;waved to someone
céyem;waving with the hand
ceyúcwt;fall off stg.
cgwesgwsénk, xgwesgwsénk;sunny side of mountain
cgwespénk, xgwespénk;sun is shining on the  mountain
cicúm;traveling down stream
cíkelc;rubbing the body against stg.
cík̓em;missed a target
cíkem;rubbing hard, scrubbing clothing
cik̓t, cík̓e7st;wrong guess in lahal,someone has gone astray.
cik̓t;missed the target, bad behavior
cílcel;silverweed  Potentilla anserina
cíl̓le7cwem;harrowing fields
cílsem;silver waves/leaves before a storm
cipct.s;scoreing a goal on sb.
cipsts;scoring a goal with a ball
císem;to mess up.***
císens;to mess up.***
cít̓elc;knelt
cítsem;cutting hay, mowing a lawn
cítsens;cutting hay, mowing a lawn
cítske7;mower, scythe, lawnmower
ciwt;frayed
ciwt, xiwt;frayed  ???
cíyem;stir,rummage around (for stg.)
cíyens;stir,rummage around (for stg.)
cíyens,necíy̓ens;rummage for stg. inside stg.
ciyentsút;searching oneself all over.
ciyentsút;searching through one's house or pockets.
ciyúcwt;fall off of
ciyutsín;talking excessively and is irritating to listen to
ck7é7peten;tail end, last in race
ck̓7em;heavy rock or bundle is set down
ck̓7úlecw;sunk to the bottom of water
ckcépem;chasing away (plur.) of people, birds or animals
ckcépens;chasing away people or animals
ck̓e7é7t;jailed
ck̓e7é7t;placed/rolled into a hole,jailed
cke7péllcw;hospital
ck̓ecméllcw;shack for drying meat
ckek̓en̓péqs,  -n;nose is plugged up
ckekéwe;accidently falling from a steep trail or cliff
ck̓elcúm;bothersome as mosquitos/flies and even of people
ck̓elcwentés;bothered her/him
ckél̓elc;wading further out into the water
ckélem;following/chasing the opposite sex
ckellel̓íll;unloading a vehicle
ckelltsín̓em;opening a door, unlocking a door
ckelltsín̓ten;key
ck̓élmen;sawmill
ck̓élmen;sawmill
ck̓elpípelt;coyote cub
ck̓emím̓en;jail
ckemk̓mépelst;crotch, groin
ck̓emllníl̓t;side of upper torso of the body
ck̓emllqín̓kst,  -é;elbow
ck̓emqenéllcw;space at back of a house or tent
ck̓emqenúps;back of a horse  behind the saddle
ck̓emqenúps;riding double, behind the saddle, on a horse.
ck̓emqín̓cen;corner of a house   ???
ck̓emqín;roof of mouth
ck̓emqíqen̓;top of a tree, post
ck̓emsúlp̓elst;ashes  ???
ck̓emtém̓;inside of a house
ck̓emtsenéllcw;door
ck̓emtsín;tributary
ck̓emtsín,  tsecreptsín;mouth of creek
ckenmím̓elt;bear cub
ckenmím̓elt;bear cub
ck̓entés;putting one heavy object into a pit
ck̓entétem̓;s/he was jailed,a heavy rock was placed in a pit/house.
ck̓epcúm, -wentés;forming a well in flour etc.
ck̓épelsten, ck̓7épelsten;sinker line on dragnet
ck̓epél̓sten;sinker line on dragnet   Do
ckepén̓s,  seckepén̓s;toothache
ckepén̓s;toothache
ckep̓xenmíns;claspping stg. under one's arm
ck̓eqenéllcw;back yard
ckeq̓éy̓etn;bird house
ckeqút̓e7cnem,  seqút̓e7cnem;horse race
ck̓esékem̓;sloppy hand work
ck̓eséles;heartless person
ck̓esétkwe;polluted water
cketesméllcw;catechism house
cketscús;time or occasion has arrived
ckétselc;walking into water or puddles
cketsenél̓smens,  -ws;s/he got to a road/trail
ckíll.lecwem;clearing land
ckíp̓ens;wedgeing food onto forked stick to cook over a fire.
ckíp̓enten;small beret
